airport,date,day,month,year,temp_max,temp_min
ALI,8-18-2015,18,8,2015,98,75,
ALI,8-19-2015,19,8,2015,98,75,
ALM,8-10-2015,10,8,2015,93,68,
ALM,8-11-2015,11,8,2015,98,66,
ALM,8-12-2015,12,8,2015,97,67,
ALM,8-13-2015,13,8,2015,97,68,
ALM,8-14-2015,14,8,2015,99,70,
ALM,8-15-2015,15,8,2015,97,69,
ALM,8-16-2015,16,8,2015,94,67,
ALM,8-17-2015,17,8,2015,92,67,
ALM,8-18-2015,18,8,2015,93,66,
ALM,8-19-2015,19,8,2015,93,66,
ALO,8-10-2015,10,8,2015,81,58,
ALO,8-11-2015,11,8,2015,82,56,
ALO,8-12-2015,12,8,2015,84,61,
ALO,8-13-2015,13,8,2015,88,63,
ALO,8-14-2015,14,8,2015,89,64,
ALO,8-15-2015,15,8,2015,88,66,
ALO,8-16-2015,16,8,2015,87,63,
ALO,8-17-2015,17,8,2015,83,61,
ALO,8-18-2015,18,8,2015,83,62,
ALO,8-19-2015,19,8,2015,84,63,
ALS,8-10-2015,10,8,2015,81,50,
ALS,8-11-2015,11,8,2015,78,47,
ALS,8-12-2015,12,8,2015,83,47,
ALS,8-13-2015,13,8,2015,84,49,
ALS,8-14-2015,14,8,2015,85,50,
ALS,8-15-2015,15,8,2015,86,50,
ALS,8-16-2015,16,8,2015,82,47,
ALS,8-17-2015,17,8,2015,81,48,
ALS,8-18-2015,18,8,2015,83,47,
ALS,8-19-2015,19,8,2015,79,45,
ALW,8-10-2015,10,8,2015,89,67,
ALW,8-11-2015,11,8,2015,100,72,
ALW,8-12-2015,12,8,2015,102,70,
ALW,8-13-2015,13,8,2015,96,63,
ALW,8-14-2015,14,8,2015,83,58,
ALW,8-15-2015,15,8,2015,85,60,
ALW,8-16-2015,16,8,2015,92,64,
ALW,8-17-2015,17,8,2015,91,62,
ALW,8-18-2015,18,8,2015,86,62,
ALW,8-19-2015,19,8,2015,89,62,
AMA,8-10-2015,10,8,2015,88,67,
AMA,8-11-2015,11,8,2015,84,64,
AMA,8-12-2015,12,8,2015,89,66,
AMA,8-13-2015,13,8,2015,93,67,
AMA,8-14-2015,14,8,2015,93,66,
AMA,8-15-2015,15,8,2015,89,66,
AMA,8-16-2015,16,8,2015,89,66,
AMA,8-17-2015,17,8,2015,88,66,
AMA,8-18-2015,18,8,2015,90,66,
AMA,8-19-2015,19,8,2015,90,65,
AMG,8-11-2015,11,8,2015,71,52,
AMG,8-12-2015,12,8,2015,65,47,
AMG,8-13-2015,13,8,2015,72,48,
AMG,8-14-2015,14,8,2015,71,51,
AMG,8-15-2015,15,8,2015,76,55,
AMG,8-16-2015,16,8,2015,69,50,
AMG,8-17-2015,17,8,2015,73,50,
AMG,8-18-2015,18,8,2015,70,48,
AMG,8-19-2015,19,8,2015,73,47,
AMG,8-20-2015,20,8,2015,74,48,
AMW,8-10-2015,10,8,2015,80,58,
AMW,8-11-2015,11,8,2015,82,57,
AMW,8-12-2015,12,8,2015,83,61,
AMW,8-13-2015,13,8,2015,89,62,
AMW,8-14-2015,14,8,2015,89,65,
AMW,8-15-2015,15,8,2015,89,66,
AMW,8-16-2015,16,8,2015,86,63,
AMW,8-17-2015,17,8,2015,83,61,
AMW,8-18-2015,18,8,2015,84,64,
AMW,8-19-2015,19,8,2015,85,63,
ANB,8-10-2015,10,8,2015,93,71,
ANB,8-11-2015,11,8,2015,91,68,
ANB,8-12-2015,12,8,2015,89,62,
ANB,8-13-2015,13,8,2015,91,66,
ANB,8-14-2015,14,8,2015,90,66,
ANB,8-15-2015,15,8,2015,92,66,
ANB,8-16-2015,16,8,2015,92,66,
ANB,8-17-2015,17,8,2015,92,68,
ANB,8-18-2015,18,8,2015,92,69,
ANB,8-19-2015,19,8,2015,92,69,
ANC,8-10-2015,10,8,2015,66,51,
ANC,8-11-2015,11,8,2015,65,50,
ANC,8-12-2015,12,8,2015,70,52,
ANC,8-13-2015,13,8,2015,72,55,
ANC,8-14-2015,14,8,2015,66,53,
ANC,8-15-2015,15,8,2015,65,53,
ANC,8-16-2015,16,8,2015,67,55,
ANC,8-17-2015,17,8,2015,65,56,
ANC,8-18-2015,18,8,2015,68,55,
ANC,8-19-2015,19,8,2015,66,52,
ANN,8-10-2015,10,8,2015,62,55,
ANN,8-11-2015,11,8,2015,61,56,
ANN,8-12-2015,12,8,2015,63,54,
ANN,8-13-2015,13,8,2015,64,53,
ANN,8-14-2015,14,8,2015,66,55,
ANN,8-15-2015,15,8,2015,61,54,
ANN,8-16-2015,16,8,2015,62,54,
ANN,8-17-2015,17,8,2015,66,55,
ANN,8-18-2015,18,8,2015,65,55,
ANN,8-19-2015,19,8,2015,64,53,
AOH,8-10-2015,10,8,2015,82,64,
AOH,8-11-2015,11,8,2015,80,57,
AOH,8-12-2015,12,8,2015,76,55,
AOH,8-13-2015,13,8,2015,82,62,
AOH,8-14-2015,14,8,2015,84,62,
AOH,8-15-2015,15,8,2015,85,61,
AOH,8-16-2015,16,8,2015,86,63,
AOH,8-17-2015,17,8,2015,87,63,
AOH,8-18-2015,18,8,2015,85,62,
AOH,8-19-2015,19,8,2015,85,62,
AOO,8-10-2015,10,8,2015,73,64,
AOO,8-11-2015,11,8,2015,74,58,
AOO,8-12-2015,12,8,2015,70,51,
AOO,8-13-2015,13,8,2015,73,58,
AOO,8-14-2015,14,8,2015,81,60,
AOO,8-15-2015,15,8,2015,81,59,
AOO,8-16-2015,16,8,2015,82,61,
AOO,8-17-2015,17,8,2015,82,61,
AOO,8-18-2015,18,8,2015,82,60,
AOO,8-19-2015,19,8,2015,82,60,
APC,8-10-2015,10,8,2015,83,57,
APC,8-11-2015,11,8,2015,82,54,
APC,8-12-2015,12,8,2015,85,54,
APC,8-13-2015,13,8,2015,85,54,
APC,8-14-2015,14,8,2015,91,57,
APC,8-15-2015,15,8,2015,97,59,
APC,8-16-2015,16,8,2015,98,58,
APC,8-17-2015,17,8,2015,91,55,
APC,8-18-2015,18,8,2015,85,55,
APC,8-19-2015,19,8,2015,82,54,
APF,8-10-2015,10,8,2015,90,78,
APF,8-11-2015,11,8,2015,89,78,
APF,8-12-2015,12,8,2015,90,77,
APF,8-13-2015,13,8,2015,89,76,
APF,8-14-2015,14,8,2015,89,76,
APF,8-15-2015,15,8,2015,89,76,
APF,8-16-2015,16,8,2015,87,76,
APF,8-17-2015,17,8,2015,92,76,
APF,8-18-2015,18,8,2015,92,76,
APF,8-19-2015,19,8,2015,92,76,
